seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff
1,135093,40603,100950,-10.78806342832994,-4.396234730692758,
10,135276,40596,100902,-17.972481304628026,-49.652008655223504,23.0
13,135339,40575,100839,-37.74546329091838,-111.47599273908492,23.0
14,135349,40576,100847,-36.88873952489934,-102.58198732548696,10.0
16,135399,40558,100788,-51.30330384095476,-160.5006371523248,30.0
17,135409,40562,100759,-48.04163730469722,-188.575193785417,10.0
18,135439,40553,100771,-56.57222288850344,-176.1500100642008,30.0
23,135534,40547,100694,-61.76331121553145,-247.33882467086707,15.0
24,135555,40535,100736,-73.45895470161709,-202.9894699805872,21.0
26,135598,40540,100720,-66.70269270065776,-218.3370178133182,23.0
27,135613,40528,100714,-79.44016926905209,-222.8035093096001,15.0
30,135681,40541,100718,-62.58130159239299,-215.44231963817123,28.0
31,135691,40538,100704,-65.92413925662798,-228.3501849651626,10.0
33,135733,40543,100705,-61.324915196105934,-224.8006624684936,22.0
34,135757,40535,100704,-67.82392587353853,-224.11627814386844,24.0
36,135800,40547,100709,-55.62668172832119,-216.1355563432336,23.0
37,135811,40523,100680,-79.11256307761568,-243.95685965705871,11.0
40,135877,40526,100704,-74.09287261364999,-216.6826172186526,26.0
41,135890,40531,100718,-68.3924216227574,-201.7211074925286,13.0
43,135935,40525,100708,-74.05998940961864,-209.80209293694676,25.0
44,135960,40536,100701,-62.507957358232446,-216.11904909222932,25.0
45,135974,40524,100718,-73.61725833829624,-198.53169861756163,14.0
48,136035,40529,100707,-67.81714945692869,-205.62281368158952,21.0
50,136076,40530,100765,-67.14091245200328,-146.98199785886297,21.0
53,136137,40579,100870,-19.428911988448668,-40.86193250068133,21.0
54,136159,40581,100914,-16.09115543295072,3.4863213293050324,22.0
55,136169,40590,100897,-6.716630881312366,-13.635160589404425,10.0
56,136193,40598,100916,0.9945161543845132,5.189811060579121,24.0
57,136205,40579,100897,-17.367673013581175,-13.768027463513627,12.0
58,136236,40579,100919,-18.087815393538463,8.584934284349682,31.0
60,136282,40591,100929,-6.408273618622272,18.297037211801754,26.0
61,136296,40587,100911,-10.531765840519268,0.7261906960054478,14.0
62,136319,40598,100906,0.6469603725696533,-4.498535791762387,23.0
63,136330,40584,100908,-12.175431510761976,-3.062214962471458,11.0
65,136380,40571,100890,-24.733778039601145,-21.46879045923158,30.0
68,136443,40579,100842,-17.448145308516857,-67.98187048964827,23.0
69,136460,40581,100852,-14.993812705027992,-58.061098681694745,17.0
70,136479,40578,100895,-17.69085235205923,-15.371765806073125,19.0
71,136495,40514,100862,-81.8582102025153,-48.05371305047055,16.0
72,136517,40562,100842,-35.29731303072194,-66.49079080219974,22.0
74,136559,40565,100859,-29.700775632323367,-49.21159601122342,22.0
75,136570,40568,100850,-26.685358814846403,-58.30121233519132,11.0
76,136602,40563,100840,-30.505883137294152,-67.85645604128764,32.0
77,136620,40571,100845,-23.139600290079223,-62.27813864801245,18.0
78,136631,40554,100840,-40.592316070904,-66.92940097529988,11.0
79,136659,40557,100850,-37.28276368113136,-57.14860141471094,28.0
81,136700,40527,100836,-67.8664081678476,-70.11629656109933,21.0
83,136730,40559,100801,-34.83502012283286,-104.86763890999548,10.0
84,136753,40573,100865,-20.42324663445507,-40.060394225623256,23.0
85,136768,40568,100841,-26.16016077265536,-63.57556844518392,15.0
86,136795,40569,100839,-25.10315757754438,-65.6990951877858,27.0
87,136817,40558,100848,-34.80173423084012,-56.44734887194135,22.0
91,136895,40579,100870,-13.820509895074544,-32.911637478228535,18.0
92,136906,40572,100859,-20.68307858220788,-43.81869559282456,11.0
93,136937,40560,100870,-31.645415392343462,-33.20863731610985,31.0
94,136959,40575,100880,-17.255065604867628,-22.9638430411012,22.0
95,136982,40568,100868,-24.08825461613728,-34.27933861997675,23.0
96,136992,40573,100883,-18.70370671574565,-19.189493921220784,10.0
98,137038,40577,100880,-14.430085529169958,-22.347911492462813,26.0
99,137053,40573,100880,-18.659529593592364,-22.108348512133198,15.0
100,137072,40589,100889,-2.883499787184157,-12.949618020205731,19.0
101,137100,40575,100879,-16.847415297618127,-23.014656192494567,28.0
106,137193,40568,100910,-23.60304317404245,7.5367500590288445,13.0
107,137215,40570,100884,-21.21593067690729,-18.25523645023484,22.0
109,137260,40573,100887,-17.460778991809075,-15.065288544298332,25.0
111,137301,40573,100899,-17.557752149422775,-3.179999692254328,21.0
113,137331,40569,100855,-21.32963692019761,-46.81678798812359,10.0
114,137364,40576,100871,-13.991369899024036,-30.7575857865243,33.0
115,137386,40584,100862,-6.4999604666684085,-39.72039970904912,22.0
116,137396,40572,100821,-18.63461482595573,-80.16544717176625,10.0
117,137417,40586,100867,-4.457439495703127,-33.67208142366739,21.0
118,137438,40574,100863,-16.191630484401138,-37.60092975423361,21.0
119,137459,40568,100866,-21.656671678226274,-34.95665516704579,21.0
120,137480,40564,100868,-26.352076942639748,-32.513453205934496,21.0
121,137493,40547,100861,-43.07232266678273,-39.08287161112518,13.0
122,137519,40567,100871,-23.32311713051392,-28.959891793179565,26.0
125,137571,40574,100875,-15.743404811943654,-24.94337563109161,12.0
126,137593,40573,100872,-16.61651521586228,-27.430906900047443,22.0
127,137617,40571,100878,-18.10630128372357,-21.30137918726943,24.0
128,137640,40575,100874,-14.086547263651632,-25.43732119389663,23.0
129,137663,40580,100870,-9.626099320217827,-29.311522067407264,23.0
130,137682,40572,100881,-17.757951657625384,-18.06660758125107,19.0
131,137693,40558,100883,-31.49978168070571,-16.06891665722432,11.0
132,137717,40571,100882,-18.545001182302894,-17.26575811848426,24.0
133,137738,40560,100892,-29.390703197309417,-7.136944302389249,21.0
134,137759,40573,100887,-16.088970796724748,-11.675915177991554,21.0
135,137780,40592,100876,1.9277544578704855,-22.713602571271714,21.0
136,137795,40572,100889,-17.164353977272718,-10.322117374936072,15.0
137,137822,40577,100890,-11.867201304751372,-8.770823409689282,27.0
138,137845,40565,100880,-23.811360713084845,-18.788357608800688,23.0
139,137858,40565,100896,-23.61365044079402,-3.1492338572788845,13.0
140,137879,40570,100901,-18.45600795196076,2.3407471266254403,21.0
141,137900,40565,100894,-24.08471697602674,-4.449642390049696,21.0
142,137921,40594,100887,5.313208335341822,-11.945211540789662,21.0
143,137932,40576,100923,-12.096807802489772,23.752262412010825,11.0
144,137965,40591,100906,2.6094991553715907,6.871767331276931,33.0
146,138004,40576,100913,-12.17119342829452,13.56163018295861,19.0
147,138014,40591,100904,2.5623660660274545,4.549275990221497,10.0
148,138035,40593,100922,3.9301246730523216,23.11277694303009,21.0
