seq,timestamp_ms,red,ir,red_corrected,ir_corrected,Outlier_Column
6187,258945,40187,99132,-99.79351091451149,-14.780509551497945,red
6219,259575,40193,99087,-65.4076650218945,-50.959529996713016,red
6226,259724,40206,99050,-46.37705127441152,-82.03284528880015,red
6229,259782,40202,99051,-51.50887541194266,-80.73601241553288,red
6232,259850,40206,99056,-46.31621557960008,-74.36144091162541,red
6233,259867,40192,99040,-60.24180461706956,-89.64565938371942,red
6234,259872,40201,99038,-50.775032367064426,-91.11725933666963,red
6235,259892,40205,99041,-45.84308188826092,-87.78302228290313,red
6236,259934,40174,99033,-75.45504950874333,-95.54122032647209,red
6237,259954,40201,99042,-47.676095792603085,-86.17133626220692,red
6238,259970,40189,99041,-58.495933166773874,-86.63047048747626,red
6239,259986,40152,99033,-93.7113914314578,-94.62703107058408,red
6240,260002,40190,99010,-54.14096436257282,-117.0012877348954,red
6241,260018,40190,99008,-53.54512680945248,-118.07415088182736,red
6242,260038,40168,99018,-74.99593794858788,-107.26693043525243,red
6243,260058,40179,98995,-63.50597922926702,-129.36659435931273,red
6244,260078,40187,98985,-55.05866473986016,-138.4198795422885,red
6245,260110,40174,98996,-69.1007534435141,-126.99206339662489,red
6246,260126,40187,98995,-56.57598288961489,-127.28775032611966,red
6247,260142,40198,98998,-45.30791018884109,-123.74934744730967,red
6248,260160,40177,99006,-65.59139269494858,-115.3219941965986,red
6249,260173,40185,99002,-58.289938386535134,-118.57856068431514,red
6250,260193,40155,99013,-88.19219270576981,-107.0387091466074,red
6251,260213,40182,99022,-60.97542984531364,-97.58511784284036,red
6252,260233,40183,99020,-59.76613345743368,-99.12433421757326,red
6253,260264,40180,99009,-63.87507479637624,-109.35016879632184,red
6254,260280,40175,99002,-69.43264134086476,-115.94539108564992,red
6255,260311,40183,99006,-62.11058694767996,-111.50207910859628,red
6256,260327,40176,98959,-69.47334328205655,-158.02850086964145,red
6257,260349,40174,99004,-71.20362978378148,-112.8679109120763,red
6258,260370,40181,99016,-64.96514780251769,-99.98336335068824,red
6259,260390,40174,98998,-72.74556019705744,-116.95104320967232,red
6260,260415,40175,98993,-72.65748483304748,-121.34636044881792,red
6261,260435,40181,99001,-67.29663133117008,-112.82973031646544,red
6262,260451,40182,99004,-66.39565861439308,-109.55964811641464,red
6263,260467,40160,99097,-88.28614418489843,-16.918312413885367,red
6264,260489,40182,98999,-65.86588567294325,-115.23768359540968,red
6265,260505,40175,99029,-72.24226333510417,-85.23874915099582,red
6266,260525,40197,99030,-49.63210237665622,-84.2391910434772,red
6267,260547,40190,99040,-57.17203671189125,-73.91092555119434,red
6268,260567,40191,99049,-57.14400208261331,-64.43912125061614,red
6269,260583,40204,99050,-45.50264853576591,-62.95726774976872,red
6270,260601,40200,99058,-50.62487189369376,-55.05593024519197,red
6271,260622,40207,99050,-44.95782840879225,-63.109946267546704,red
6272,260655,40183,99065,-70.41329323675814,-47.48302528861103,red
6280,260811,40199,99060,-56.558660015386,-52.37847502243477,red
6281,260831,40189,99081,-67.25462972315756,-31.256435178102976,red
6273,260669,40187,99057,-82.0502646034438,-64.82042343755893,red
6274,260689,40187,99053,-65.98473726045,-58.364829353001056,red
6275,260709,40176,99063,-76.52153719404401,-48.0724477463979,red
6276,260726,40187,99057,-65.11565312797126,-53.751528047827975,red
